,impressions_seen,auctions_entered,wins,win_rate,spend,conversions,effective_cpa,budget_remaining,shade_factor
flat_cpm_baseline,0.0,30000.0,0.0,0.0,0.0,0.0,inf,500.0,0.15
oracle_pcvr,30000.0,30000.0,25466.0,0.8489,325.49,1003.0,0.32,,
pcvr_second_price,33000.0,30000.0,2057.0,0.0686,18.24,95.0,0.19,,
pcvr_first_price_shaded,33000.0,30000.0,2017.0,0.0672,25.09,83.0,0.3,,
pcvr_landscape_second_price,33000.0,30000.0,2057.0,0.0686,18.24,95.0,0.19,,
pcvr_landscape_first_price,33000.0,30000.0,1132.0,0.0377,10.09,58.0,0.17,,
